Designator,MidX,MidY,Rotation,Layer
"C1",4.800000,-7.900000,180.000000,bottom
"C2",13.500000,-13.635071,90.000000,bottom
"C3",13.500000,-18.135071,90.000000,bottom
"C4",3.690000,-21.535071,-90.000000,bottom
"C5",1.500000,-14.135071,-90.000000,bottom
"C6",10.000000,-10.635071,180.000000,bottom
"J1",-4.000000,-19.500000,90.000000,bottom
"J2",40.921513,-19.200000,-90.000000,bottom
"Q1",10.000000,-6.000000,90.000000,bottom
"R1",-35.250000,-18.170000,-90.000000,bottom
"R2",8.500000,19.000000,90.000000,bottom
"R3",8.500000,11.500000,90.000000,bottom
"R4",6.000000,-5.000000,180.000000,bottom
"R5",3.500000,-4.000000,90.000000,bottom
"U1",7.500000,-16.635071,-90.000000,bottom
"D1",-37.000000,-19.670000,0.000000,top
"D2",11.000000,19.500000,180.000000,top
"D3",11.000000,12.000000,180.000000,top
