Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_0603_1608Metric",-23.200000,-41.400000,-90.000000,top
"C2","100nF","C_0402_1005Metric",-25.100000,-41.100000,-90.000000,top
"C3","1nF","C_0201_0603Metric",-26.100000,-40.900000,-90.000000,top
"C4","68pF","C_0201_0603Metric",-48.700000,4.700000,-90.000000,top
"C5","68pF","C_0201_0603Metric",-27.000000,-40.900000,-90.000000,top
"C6","10uF","C_0805_2012Metric",-37.000000,28.000000,90.000000,top
"C7","68pF","C_0201_0603Metric",-48.700000,8.000000,90.000000,top
"C8","4.7uF","C_0603_1608Metric",-32.400000,-42.300000,180.000000,top
"C9","4.7uF","C_0603_1608Metric",-45.700000,9.900000,90.000000,top
"C10","100nF","C_0402_1005Metric",-31.600000,-40.800000,180.000000,top
"C11","100nF","C_0402_1005Metric",-43.000000,9.700000,0.000000,top
"C12","100nF","C_0402_1005Metric",-19.500000,-38.900000,0.000000,top
"C13","10uF","C_0805_2012Metric",-33.000000,28.000000,90.000000,top
"C14","100nF","C_0402_1005Metric",-43.500000,3.250000,0.000000,top
"C15","100nF","C_0402_1005Metric",-21.500000,-32.300000,90.000000,top
"C16","10uF","C_0805_2012Metric",-29.000000,28.000000,90.000000,top
"C17","1nF","C_0201_0603Metric",-30.000000,-39.600000,-90.000000,top
"C18","47nF","C_0402_1005Metric",-33.700000,-38.200000,90.000000,top
"C19","1nF","C_0201_0603Metric",-28.100000,-39.600000,-90.000000,top
"C20","68pF","C_0201_0603Metric",-32.700000,-37.900000,90.000000,top
"C21","1nF","C_0201_0603Metric",-22.400000,-32.500000,90.000000,top
"C22","68pF","C_0201_0603Metric",-33.000000,-36.500000,180.000000,top
"C23","22uF","C_0805_2012Metric",12.000000,17.000000,-90.000000,top
"C24","22uF","C_0805_2012Metric",-22.000000,24.000000,-90.000000,top
"C25","100nF","C_0402_1005Metric",-39.600000,-32.900000,0.000000,top
"C26","100nF","C_0402_1005Metric",-39.600000,-39.100000,0.000000,top
"C27","68pF","C_0201_0603Metric",-36.700000,-36.800000,180.000000,top
"C28","22uF","C_0805_2012Metric",-18.000000,24.000000,-90.000000,top
"C29","1nF","C_0201_0603Metric",-39.800000,-33.900000,0.000000,top
"C30","1nF","C_0201_0603Metric",-39.800000,-38.100000,0.000000,top
"C31","68pF","C_0201_0603Metric",-41.700000,-36.000000,180.000000,top
"C32","4.7uF","C_0603_1608Metric",-19.200000,-30.500000,90.000000,top
"C33","100nF","C_0402_1005Metric",-29.300000,-29.450000,90.000000,top
"C34","100nF","C_0402_1005Metric",-21.500000,-36.500000,0.000000,top
"C35","100nF","C_0402_1005Metric",-21.400000,-33.800000,0.000000,top
"C36","1nF","C_0201_0603Metric",-21.800000,-35.200000,90.000000,top
"C37","100nF","C_0402_1005Metric",12.000000,13.900000,180.000000,top
"FB1","600R@100MHz","R_1206_3216Metric",-52.000000,10.000000,90.000000,top
"FB2","600R@100MHz","R_1206_3216Metric",-20.000000,27.000000,0.000000,top
"J1","USB_B_Micro","USB_Micro-B_Molex-105017-0001",-57.300000,6.000000,-90.000000,top
"J4","SMA","SMA_Molex_73251-2200_Horizontal",-53.580000,-36.000000,90.000000,top
"J5","COMM","Hirose_DF52-8S-0.8H_1x08-1MP_P0.80mm_Horizontal",18.000000,-12.000000,90.000000,top
"J6","SWD","Hirose_DF52-5S-0.8H_1x05-1MP_P0.80mm_Horizontal",-56.000000,40.000000,-90.000000,top
"L1","1.5uH","L_1008_2520Metric",-30.000000,24.000000,90.000000,top
"L2","47nH","L_0402_1005Metric",-31.700000,-37.400000,90.000000,top
"Q1","~","SOT-523",12.000000,20.000000,-90.000000,top
"Q2","~","SOT-523",12.000000,9.000000,-90.000000,top
"Q3","~","SOT-523",12.000000,32.750000,-90.000000,top
"R1","10K","R_0402_1005Metric",-26.400000,16.600000,0.000000,top
"R2","10K","R_0402_1005Metric",-24.500000,16.600000,0.000000,top
"R3","27R","R_0201_0603Metric",-48.400000,5.900000,0.000000,top
"R4","27R","R_0201_0603Metric",-48.400000,6.700000,0.000000,top
"R5","100R","R_0402_1005Metric",-39.600000,-31.800000,180.000000,top
"R6","100R","R_0402_1005Metric",-39.600000,-40.200000,180.000000,top
"R7","1K","R_0402_1005Metric",12.000000,36.000000,180.000000,top
"R8","1K","R_0402_1005Metric",9.500000,19.300000,0.000000,top
"R9","1K","R_0402_1005Metric",16.500000,29.200000,180.000000,top
"R10","1K","R_0402_1005Metric",12.000000,12.700000,180.000000,top
"R11","1K","R_0402_1005Metric",9.500000,32.000000,0.000000,top
"R12","1K","R_0402_1005Metric",17.000000,-4.000000,-90.000000,top
"R13","27R","R_0201_0603Metric",12.500000,11.000000,-90.000000,top
"SW1","POWER SWITCH","SW_E-Switch_EG1224_SPDT_Angled",-48.667500,27.957500,-90.000000,top
"SW3","CHANNEL SELECT","SW_DIP_SPSTx08_Slide_6.7x21.88mm_W6.73mm_P2.54mm_LowProfile_JPin",-54.000000,-15.000000,180.000000,top
"U1","MCP73811","SOT-23-5",-35.000000,24.000000,180.000000,top
"U2","FT234XD","DFN-12-1EP_3x3mm_P0.5mm_EP1.6x2.5mm",-43.750000,6.000000,90.000000,top
"U3","STM32WL55CCU6","QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm",-27.000000,-34.700000,-90.000000,top
"U4","ADP2504","LFCSP-WD-10-1EP_3x3mm_P0.5mm_EP1.64x2.38mm",-26.000000,24.000000,0.000000,top
"U5","BALFHB-WL-02D3","ST_CSPG-8",-34.800000,-36.000000,180.000000,top
"U6","AS213-92","SOT-363_SC-70-6",-39.200000,-36.000000,180.000000,top
"Y1","32MHz","Crystal_SMD_2016-4Pin_2.0x1.6mm",-29.000000,-41.950000,180.000000,top
